Tiempo;Biomasa;Reactor;Tratamiento
0;16;1;0.022%
1;20;1;0.022%
2;60;1;0.022%
3;82;1;0.022%
4;108;1;0.022%
6;58;1;0.022%
7;115;1;0.022%
8;108;1;0.022%
9;118;1;0.022%
10;130;1;0.022%
1;58;2;0.022%
2;66;2;0.022%
3;86;2;0.022%
4;62;2;0.022%
5;136;2;0.022%
6;132;2;0.022%
7;115;2;0.022%
8;113;2;0.022%
9;115;2;0.022%
10;125;2;0.022%
0;20;3;0.022%
1;27;3;0.022%
2;44;3;0.022%
3;50;3;0.022%
4;80;3;0.022%
5;80;3;0.022%
6;53;3;0.022%
7;85;3;0.022%
8;93;3;0.022%
9;70;3;0.022%
10;97;3;0.022%
0;20;1;3%
1;16;1;3%
2;26;1;3%
3;34;1;3%
4;80;1;3%
5;98;1;3%
7;104;1;3%
8;163;1;3%
10;171;1;3%
0;46;2;3%
1;66;2;3%
2;72;2;3%
3;58;2;3%
4;102;2;3%
5;116;2;3%
7;153;2;3%
8;175;2;3%
9;354;2;3%
10;211;2;3%
0;65;3;3%
1;80;3;3%
2;102;3;3%
3;96;3;3%
5;122;3;3%
7;168;3;3%
8;230;3;3%
9;317;3;3%
10;277;3;3%
0;100;4;3%
1;84;4;3%
2;96;4;3%
3;128;4;3%
4;124;4;3%
5;162;4;3%
8;233;4;3%
9;220;4;3%
10;266;4;3%
0;66;1;6%
1;18;1;6%
2;44;1;6%
3;68;1;6%
4;122;1;6%
6;104;1;6%
7;140;1;6%
8;102;1;6%
10;132;1;6%
0;62;2;6%
1;94;2;6%
2;98;2;6%
3;116;2;6%
4;146;2;6%
6;205;2;6%
7;140;2;6%
8;230;2;6%
9;203;2;6%
10;187;2;6%
0;74;3;6%
1;44;3;6%
2;106;3;6%
3;128;3;6%
4;113;3;6%
6;187;3;6%
7;173;3;6%
8;190;3;6%
9;170;3;6%
10;147;3;6%
0;100;4;6%
1;44;4;6%
2;86;4;6%
3;96;4;6%
4;96;4;6%
6;147;4;6%
7;146;4;6%
8;140;4;6%
9;205;4;6%
10;153;4;6%
