Tiempo;Biomasa ;Reactor;Tratamiento 
0;10;1;Fertilizante
1;8;1;Fertilizante
2;42;1;Fertilizante
3;100;1;Fertilizante
4;96;1;Fertilizante
5;105;1;Fertilizante
6;82.5;1;Fertilizante
7;73.33333333;1;Fertilizante
8;130;1;Fertilizante
9;133.3333333;1;Fertilizante
0;8;2;Fertilizante
2;8;2;Fertilizante
3;38;2;Fertilizante
4;58;2;Fertilizante
5;54;2;Fertilizante
6;96;2;Fertilizante
7;70;2;Fertilizante
8;98;2;Fertilizante
9;137.5;2;Fertilizante
10;167.5;2;Fertilizante
0;2;3;Fertilizante
1;6;3;Fertilizante
2;12;3;Fertilizante
3;24;3;Fertilizante
4;86;3;Fertilizante
5;72;3;Fertilizante
6;92.5;3;Fertilizante
7;96.66666667;3;Fertilizante
8;120;3;Fertilizante
9;110;3;Fertilizante
10;280;3;Fertilizante
0;6;4;Fertilizante
1;2;4;Fertilizante
4;30;4;Fertilizante
5;40;4;Fertilizante
6;50;4;Fertilizante
7;65;4;Fertilizante
8;66.66666667;4;Fertilizante
9;123.3333333;4;Fertilizante
10;166.6666667;4;Fertilizante
0;4;5;Fertilizante
1;2;5;Fertilizante
2;22;5;Fertilizante
3;28;5;Fertilizante
4;68;5;Fertilizante
5;32;5;Fertilizante
6;60;5;Fertilizante
7;57.5;5;Fertilizante
8;87.5;5;Fertilizante
9;135;5;Fertilizante
10;205;5;Fertilizante
0;18;1;Control
1;0;1;Control
3;147.5;1;Control
4;197.5;1;Control
5;230;1;Control
6;165;1;Control
8;260;1;Control
9;315;1;Control
10;355;1;Control
0;4;2;Control
2;94;2;Control
3;190;2;Control
4;205;2;Control
5;170;2;Control
6;253.3333333;2;Control
7;255;2;Control
8;245;2;Control
9;270;2;Control
10;360;2;Control
0;4;3;Control
1;12;3;Control
2;72;3;Control
3;86;3;Control
4;146;3;Control
5;200;3;Control
6;206.6666667;3;Control
7;210;3;Control
8;245;3;Control
9;325;3;Control
10;360;3;Control
